,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position,,,,,,,,,,,,,,,,
Kevin,Kevin Huerter,Huerter,19.58000030517580,5,5400,SAC@HOU,SAC,HOU,,,,,,SG/SF,,,,,,,,,,,,,,,,
Daniel,Daniel Gafford,Gafford,20.566666920979800,3,5400,WAS@PHI,WAS,PHI,GTD,Ankle,,,,C,,,,,,,,,,,,,,,,
Buddy,Buddy Hield,Hield,24.76666768391930,6,5300,SA@IND,IND,SA,,,,,,SG/SF,,,,,,,,,,,,,,,,
Davion,Davion Mitchell,Mitchell,13.939999389648400,5,5300,SAC@HOU,SAC,HOU,,,,,,PG,,,,,,,,,,,,,,,,
Kevon,Kevon Looney,Looney,25.114286150251100,7,5300,GS@DET,GS,DET,,,,,,C,,,,,,,,,,,,,,,,
Mike,Mike Conley,Conley,24.539999389648400,5,5300,BOS@MIN,MIN,BOS,,,,,,PG,,,,,,,,,,,,,,,,
Bruce,Bruce Brown,Brown,22.183334350585900,6,5300,SA@IND,IND,SA,,,,,,SF,,,,,,,,,,,,,,,,
Grant,Grant Williams,Williams,25.133333841959600,6,5300,DAL@ORL,DAL,ORL,,,,,,PF,,,,,,,,,,,,,,,,
Christian,Christian Wood,Wood,20.616666158040400,6,5200,LAL@MIA,LAL,MIA,,,,,,PF/C,,,,,,,,,,,,,,,,
Harrison,Harrison Barnes,Barnes,22.76000061035160,5,5200,SAC@HOU,SAC,HOU,,,,,,SF/PF,,,,,,,,,,,,,,,,
De'Anthony,De'Anthony Melton,Melton,22.539999389648400,5,5200,WAS@PHI,PHI,WAS,,,,,,PG/SG,,,,,,,,,,,,,,,,
Norman,Norman Powell,Powell,21.860000610351600,5,5200,LAC@NY,LAC,NY,,,,,,SG/SF,,,,,,,,,,,,,,,,
Josh,Josh Hart,Hart,20.0500005086263,6,5100,LAC@NY,NY,LAC,,,,,,SG/SF,,,,,,,,,,,,,,,,
Bennedict,Bennedict Mathurin,Mathurin,19.233333587646500,6,5100,SA@IND,IND,SA,,,,,,SG/SF,,,,,,,,,,,,,,,,
Moritz,Moritz Wagner,Wagner,18.71666717529300,6,5100,DAL@ORL,ORL,DAL,,,,,,C,,,,,,,,,,,,,,,,
Saddiq,Saddiq Bey,Bey,23.51666768391930,6,5100,ATL@OKC,ATL,OKC,,,,,,SF,,,,,,,,,,,,,,,,
Dorian,Dorian Finney-Smith,Finney-Smith,24.850001017252600,6,5100,MIL@BKN,BKN,MIL,,,,,,SF/PF,,,,,,,,,,,,,,,,
Marvin,Marvin Bagley,Bagley,19.614286150251100,7,5000,GS@DET,DET,GS,,,,,,PF/C,,,,,,,,,,,,,,,,
Coby,Coby White,White,21.214285714285700,7,5000,UTA@CHI,CHI,UTA,,,,,,PG,,,,,,,,,,,,,,,,
Bogdan,Bogdan Bogdanovic,Bogdanovic,24.666666666666700,6,5000,ATL@OKC,ATL,OKC,,,,,,SG/SF,,,,,,,,,,,,,,,,
Andrew,Andrew Wiggins,Wiggins,16.528570992606000,7,5000,GS@DET,GS,DET,,,,,,SF/PF,,,,,,,,,,,,,,,,
Marcus,Marcus Sasser,Sasser,19.028570992606000,7,4900,GS@DET,DET,GS,,,,,,PG,,,,,,,,,,,,,,,,
Alec,Alec Burks,Burks,25.274999618530300,4,4900,GS@DET,DET,GS,GTD,Forearm,,,,PG/SG,,,,,,,,,,,,,,,,
Al,Al Horford,Horford,18.91999969482420,5,4900,BOS@MIN,BOS,MIN,,,,,,C,,,,,,,,,,,,,,,,
Royce,Royce O'Neale,O'Neale,23.083333333333300,6,4900,MIL@BKN,BKN,MIL,,,,,,SF/PF,,,,,,,,,,,,,,,,
Jaden,Jaden McDaniels,McDaniels,18.633333841959600,3,4900,BOS@MIN,MIN,BOS,,,,,,SF/PF,,,,,,,,,,,,,,,,
Kyle,Kyle Lowry,Lowry,21.46666717529300,6,4800,LAL@MIA,MIA,LAL,,,,,,PG,,,,,,,,,,,,,,,,
Kevin,Kevin Love,Love,21.433334350585900,3,4800,LAL@MIA,MIA,LAL,,,,,,PF/C,,,,,,,,,,,,,,,,
